中央频道,#genre#
深圳卫视,http://116.117.106.42:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
深圳卫视,http://116.117.104.39:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
深圳卫视,http://116.117.104.242:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
深圳卫视,http://116.117.105.183:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
深圳卫视,http://116.117.106.240:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
深圳卫视,http://116.117.106.74:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
湖北卫视,http://116.117.105.247:8096/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
湖北卫视,http://116.117.106.42:8096/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
湖北卫视,http://116.117.104.39:8096/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
湖北卫视,http://116.117.104.242:8096/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
湖北卫视,http://116.117.105.183:8096/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
湖北卫视,http://116.117.106.240:8096/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
湖北卫视,http://116.117.106.74:8096/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
